folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas,ingreso_hogar,educacion_jefe,edad_jefe,sexo_jefe,prob_workers_0,prob_workers_1,prob_workers_2,prob_workers_3,prob_workers_4_mas,prob_bathrooms_0,prob_bathrooms_1,prob_bathrooms_2_mas,prob_rooms_1,prob_rooms_2,prob_rooms_3,prob_rooms_4_mas,modelo_puntos_14_anos_trabajo_mes,modelo_puntos_banos_completos,modelo_puntos_cuartos_dormir
705,2023-01-24 00:00:00+00:00,Guadalajara,1403900010736,70B,Congestionamiento,El sobrecupo de personas en las unidades del transporte,7,Propia,No quiso responder,1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,202,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,,27.0,52,Mujeres,0.029492267694958052,0.13102110171127387,0.24842253904818942,0.31259761708385037,0.2784664744617286,0.07155563938097312,0.5442938823055249,0.38415047831350196,0.0268690492700737,0.19784569007137584,0.48620207199550775,0.2890831886630427,41.03236056418554,31.11812565606719,24.299995200412155
706,2023-01-24 00:00:00+00:00,Guadalajara,1403900010736,70B,Vialidades insuficientes,La distancia a las paradas,5,Prestada,No quiso responder,2,1,2,En la cochera de la casa,Hijo,Sí,No,202,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,,59.0,55,Hombres,0.01640983405921056,0.15037531505794144,0.3713387982923574,0.27697355816102287,0.1849024944294683,0.01888040181483361,0.3319376503331692,0.6491819478519972,0.026813111164236268,0.21197817136732905,0.583229546537448,0.17797917093098678,37.786968308536814,38.47805515703993,23.298998217881483
707,2023-01-24 00:00:00+00:00,Guadalajara,1403900010986,70B,Congestionamiento,Conducción del/ de la chofer,6,Propia,No sabe,1,0,0,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,,18.0,51,Hombres,0.008838190386934498,0.12001185440064281,0.30608911820004725,0.36108839098778195,0.20397244602459386,0.10133350605002482,0.6107866789833072,0.287879814966668,0.02910280189322928,0.28337919184482807,0.47743249414435623,0.2100855121175864,40.3413256731493,28.189231599032766,22.948005731890397
708,2023-01-24 00:00:00+00:00,Guadalajara,1403900010986,70B,Pavimento deteriorado,Falta de información de rutas,6,Propia,No sabe,1,0,0,"En la calle, afuera de la casa",Hijo,Sí,No,202,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22,,11.0,63,Mujeres,0.023886625899617705,0.11497077060252298,0.3524815165101231,0.31996787778474095,0.18869320920299493,0.0939554949857895,0.5845963194671169,0.32144818554709353,0.029316510985434585,0.24764419567385054,0.4337034017544289,0.28933589158628586,38.88029671033244,29.1383763879242,23.864469391532527
709,2023-01-24 00:00:00+00:00,Guadalajara,1403900010986,70B,Congestionamiento,Conducción del/ de la chofer,4,Propia,No sabe,1,0,1,,Cónyuge,No,No,202,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,22,,11.0,46,Hombres,0.013792464687738745,0.2840735775964407,0.4118763572878856,0.21768024802096378,0.07257735240697141,0.3788945754882149,0.5458254469829896,0.0752799775287955,0.1611453547259993,0.5372201261640348,0.2629455634655293,0.03868895564443661,31.46978064566065,16.63796967144514,17.433424960227224
710,2023-01-24 00:00:00+00:00,Guadalajara,1403900010986,70B,Congestionamiento,La falta de comodidad de las unidades del transporte,7,Propia,"$1,501 y $3,000",1,0,0,,Jefe del hogar,No,No,202,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,22,"$1,501 y $3,000",11.0,71,Hombres,0.08570015146552062,0.19264517990359326,0.3560077225944416,0.18631800091043535,0.17932894512600966,0.7823463744778453,0.1871543772188233,0.0304992483033314,0.1678387824427803,0.3347457032750872,0.34896723688645803,0.1484482773956745,33.43561079354821,5.9251697235083345,19.824200073880213
711,2023-01-24 00:00:00+00:00,Guadalajara,1403900010986,70B,Congestionamiento,La falta de comodidad de las unidades del transporte,5,Rentada,"$3,001 y $7,000",1,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$3,001 y $7,000",18.0,36,Hombres,0.05321374632182823,0.4729557352927946,0.4032471234162857,0.06192803067981339,0.008655364289277765,0.22204472090302874,0.7284641689897953,0.04949111010717605,0.22002899000932366,0.6052612940205832,0.1451414680821624,0.029568247887930773,22.971663488214137,19.80922223079236,15.873991790789603
712,2023-01-24 00:00:00+00:00,Guadalajara,1403900010346,70B,Tiempos excesivos de traslado,El tiempo de duración de viaje,3,Prestada,No quiso responder,0,0,0,,,Sí,No,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,,18.0,60,Mujeres,0.09149189540034008,0.38715974587642804,0.35851334312790856,0.16015938995089732,0.002675625644426322,0.1597403760995191,0.7033809529417105,0.13687867095877032,0.12709033153033353,0.5966861702693851,0.24410216073695265,0.0321213374633286,24.451854927162866,23.31444040566326,17.45003603306621
713,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Falta de señalamientos,La distancia a las paradas,6,Rentada,"$10,001 y $15,000",1,0,0,"En la calle, afuera de la casa",Hijo,Sí,Sí,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$10,001 y $15,000",18.0,43,Hombres,0.013190140954938957,0.35582538858432294,0.3896791230923196,0.140725294837275,0.10058005253114395,0.11155312431752663,0.798813400872076,0.08963347481039742,0.10536115215878958,0.5727074490857581,0.26827622515901767,0.05365517359643454,30.02618041154118,23.384294937018502,18.161803361544777
714,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Falta de estacionamiento,El tiempo de duración de viaje,5,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,202,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,0,"$7,001 y $10,000",59.0,39,Mujeres,0.07050840686835276,0.3970485177221192,0.43614502622367984,0.07585204273526515,0.020446006450582935,0.07007119887675119,0.8263705799774423,0.10355822114580643,0.18378805194831863,0.5997640854104526,0.18369230122082056,0.03275556142040818,24.21262393807362,24.70013031331152,16.523322976906545
