folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas,ingreso_hogar,educacion_jefe,edad_jefe,sexo_jefe,prob_workers_0,prob_workers_1,prob_workers_2,prob_workers_3,prob_workers_4_mas,prob_bathrooms_0,prob_bathrooms_1,prob_bathrooms_2_mas,prob_rooms_1,prob_rooms_2,prob_rooms_3,prob_rooms_4_mas,modelo_puntos_14_anos_trabajo_mes,modelo_puntos_banos_completos,modelo_puntos_cuartos_dormir
1,2023-01-25 00:00:00+00:00,Tlajomulco,1409700251418,30F,Tiempos excesivos de traslado,La distancia a las paradas,5,Propia,"Más de $25,001",2,0,3,En la cochera de la casa,Jefe del hogar,Sí,No,51,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,43,"Más de $25,001",85.0,51,Hombres,0.005680200278616429,0.15794926164575285,0.3668207410363024,0.2315394341643355,0.23801036287499272,0.0015197364394539223,0.2764856837303173,0.7219945798302287,0.010185201383729648,0.11645096587584178,0.47090463313840625,0.40245919960202226,38.910128003745655,40.56940166154836,26.12510264766977
2,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"$3,001 y $7,000",11.0,68,Hombres,0.11051896664534136,0.4352881417984332,0.3087258234875299,0.14022177388343862,0.005245294185257042,0.22998942257825286,0.7040639154513193,0.06594666197042784,0.20476299702298137,0.6208977649145043,0.15391390984686992,0.0204253282156445,22.869987199028785,19.997027083441772,15.920012554041422
3,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Pavimento deteriorado,La distancia a las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,,18.0,25,Hombres,0.029920801882249545,0.5610422644302026,0.36511009418845,0.0383126441124882,0.005614195386609371,0.3052229520142897,0.623315170404345,0.07146187758136531,0.5935592341083065,0.30649202943450743,0.08335572921348768,0.016593007243698422,21.838894434052616,18.31827233602845,12.183860076740626
4,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,El tiempo de duración de viaje,3,Rentada,"Más de $25,001",1,1,0,"En la calle, afuera de la casa",Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"Más de $25,001",18.0,63,Hombres,0.04516650346586354,0.26565236982153506,0.38110803815061073,0.26816989396996943,0.03990319459202119,0.014171695690695709,0.6585214420463834,0.32730686226292083,0.061466302563121085,0.5058508768416463,0.38509911902407007,0.04758370157116259,30.569044722723845,31.18793713547048,19.35040175682619
5,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,6,Propia,"$7,001 y $10,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$7,001 y $10,000",18.0,46,Hombres,0.01091319269479072,0.3367679954657756,0.30366069512114735,0.18191932074374934,0.16673879597453842,0.319898551918044,0.5819801148128191,0.09812133326913693,0.06720708652840979,0.4287218913204835,0.36046619697787063,0.143604825173236,33.00435678940152,18.579225419157094,20.64375008636746
6,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$15,001 y $25,000",59.0,57,Hombres,0.013226346894600937,0.2787458695407218,0.417933333687589,0.20626758456388128,0.08382686531320703,0.010869196883335836,0.7086220995603983,0.2805087035562659,0.04887119501387396,0.4108210980602391,0.44373736604288794,0.09657034088299896,31.73886906147025,30.19083945659406,20.704054822360092
7,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Vialidades insuficientes,Falta de cubiertas para espera en las paradas,3,Rentada,No quiso responder,3,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,,59.0,46,Hombres,0.007168107546785241,0.32068706859775653,0.5305017053612257,0.13200192378308995,0.009641194711142144,0.009380625569107863,0.4144751969815509,0.5761441774493413,0.12567946660320503,0.39222347265832985,0.42169801958279546,0.06039904115566982,27.916060266566156,37.02618106767626,19.334533082327443
8,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,El costo del viaje,4,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$15,001 y $25,000",59.0,60,Hombres,0.10383632415132084,0.3914375068556386,0.3546122722284673,0.1317994401686313,0.01831445659594195,0.01465975359826764,0.5667696594668353,0.418570586934897,0.04309674468036616,0.37775444463298186,0.5170215274581527,0.06212728322849939,24.044499142026567,33.27528941314421,20.78543479387828
9,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,7,Rentada,"$15,001 y $25,000",0,1,0,,Jefe del hogar,Sí,Sí,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0,"$15,001 y $25,000",23.0,61,Mujeres,0.01886978231985619,0.12872897983719409,0.279942246476824,0.31122400356283647,0.26123498780328985,0.1272105274229798,0.7272491654766805,0.14554030710033972,0.08656954968114733,0.4347966391265282,0.3671123925775475,0.11152141861477696,40.86078275823061,24.2943744051563,20.028685441007635
10,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,3,Rentada,"$7,001 y $10,000",1,0,1,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$7,001 y $10,000",18.0,45,Mujeres,0.08887284060113265,0.5650455250865544,0.23326509188138914,0.09440456891530771,0.018411973515615986,0.08357225451192558,0.8416810663624609,0.07474667912561354,0.19661886752332228,0.6377993926915952,0.14902196131764006,0.01655977846744246,21.17264127917811,23.7134395116029,15.884181205833622
11,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,7,Rentada,No sabe,0,0,0,,Otro parentesco,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,,18.0,47,Hombres,0.0027346927666197086,0.14023493001477852,0.19707084378922596,0.3421498684387324,0.3178096649906437,0.17368008779532382,0.7024036530795701,0.12391625912510598,0.09600787144987134,0.43571080009735585,0.36472957559685876,0.10355175285591417,43.338003620298636,22.68175185278966,19.80660167887053
12,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Pavimento deteriorado,Trato del/de la chofer,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0,"$3,001 y $7,000",11.0,74,Hombres,0.07762668453426293,0.4381077326128758,0.30605682420635133,0.1328654446454396,0.04534331400107064,0.693108307852724,0.27891269937974056,0.027978992767535384,0.2322957969534283,0.5121988676576738,0.20611888272787995,0.04938645266101801,24.937130147345556,8.008917445187937,16.580767928771902
13,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,6,Prestada,"Más de $25,001",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"Más de $25,001",11.0,58,Hombres,0.007719812617007115,0.08939290404220375,0.21974106750670208,0.3510425123518778,0.3321037034822095,0.16880987551862522,0.6001845532972889,0.23100557118408585,0.04558068941200311,0.3057134073668742,0.48738071431181407,0.1613251889093087,44.559148133941974,25.26169112478697,22.115603221747428
14,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Congestionamiento,El costo del viaje,4,Propia,"$15,001 y $25,000",0,0,0,,Hijo,Sí,Sí,249,,0.1972149342887886,0.40480083666241,0.1027161921045759,0.0541488299363059,0.1027955584024542,0.1199453495690939,0.0183782990363712,,18.96153486923828,32,0,"$15,001 y $25,000",18.96153486923828,99,Hombres,0.10763501891193465,0.26312787329820037,0.39539887399178675,0.18159562343724908,0.052242610360829965,0.069438070142318,0.5406697547597406,0.38989217509794144,0.07040495166728036,0.41318071864364875,0.4192589849543327,0.09715534473473825,27.74448110334248,31.301006343837024,20.345317782052234
15,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de cruces peatonales,La falta de comodidad de las unidades del transporte,2,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,Sí,No,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,"$1,501 y $3,000",0.0,81,Mujeres,0.32284006036724394,0.5191717197550243,0.15331545550819403,0.003376524662682723,0.0012962397068551808,0.5300972082064167,0.38430950028958905,0.0855932915039942,0.4794177572102233,0.37249025079644144,0.11114722820284732,0.03694476379048786,12.774745673680952,13.246312707637863,13.644951988588797
16,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Congestionamiento,Falta de cubiertas para espera en las paradas,7,Propia,"$7,001 y $10,000",0,0,0,,Hijo,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,"$7,001 y $10,000",18.0,46,Hombres,0.018012718385016644,0.2507366245211928,0.2572861610534554,0.22533482788607073,0.24862966815426452,0.5681100196217294,0.37882106377566044,0.053068916602610164,0.09001379885878733,0.3798443447674591,0.37897222391425606,0.1511696324594975,37.2687322006444,11.58594461093853,20.730381519795706
17,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Tiempos excesivos de traslado,Falta de información de rutas,4,Propia,"$15,001 y $25,000",2,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,"$15,001 y $25,000",59.0,41,Hombres,0.027635231459657295,0.3907172877705776,0.5039810120212881,0.06484886258185744,0.012817606166619002,0.014323900318710394,0.5830976944884251,0.40257840519286464,0.05468230716258454,0.4541288416259631,0.42679081923328943,0.06439803197816309,25.249092344147794,32.915529711786846,20.00723660821625
18,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,Poca frecuencia de paso en el día,6,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$10,001 y $15,000",27.0,50,Hombres,0.023751109159952388,0.3725325826315423,0.37840664372844024,0.15741774185581106,0.06789192262425457,0.16199347051714788,0.6517021751316066,0.1863043543512455,0.05037866585377743,0.39414645816194466,0.4082148384345536,0.14726003754972442,28.70121810050162,24.397156857667095,21.2188499814418
19,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,La distancia a las paradas,5,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0,"$1,501 y $3,000",11.0,54,Mujeres,0.053566686743394015,0.2736338486166824,0.38441841689810635,0.20547189374302371,0.08290915399879405,0.8790530362913713,0.11225918141434514,0.008687782294283497,0.31222322942649733,0.4325116387897646,0.20179003374608043,0.053475098037657674,30.530644159197067,3.1025461217756076,15.972136003159187
20,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,El tiempo de duración de viaje,4,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0,,27.0,31,Mujeres,0.07175378030178702,0.5589737722890867,0.285706033350264,0.0733372086434242,0.010229205415439003,0.20968299939587437,0.6886755376883613,0.10164146291576426,0.3687650444522727,0.47949594629397246,0.13060272623275276,0.021136283021002112,21.23898674613378,21.30536166156159,14.432881982579875
21,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,5,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,22,"$15,001 y $25,000",85.0,74,Hombres,0.06686004550222695,0.38499256848819713,0.37576772212968806,0.1291683827355844,0.0432112811443041,0.0034768006954969772,0.3612554668387139,0.635267732465789,0.0338462192521955,0.25186194921078664,0.5347212228639009,0.17957060867311705,26.00132166898272,38.52771463002122,22.88012976766352
22,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,4,Propia,"$7,001 y $10,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$7,001 y $10,000",59.0,52,Mujeres,0.1283782393913378,0.4334613143247291,0.31888225639767975,0.09781404186725343,0.02146414801900025,0.04678374398148758,0.680490437472702,0.27272581854581035,0.07584216833501892,0.4304918246840984,0.4395340025727486,0.054132004408133906,22.196028618251677,29.149883970997934,19.775646744431977
23,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Falta de señalamientos,Falta de información de rutas,5,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$3,001 y $7,000",59.0,55,Mujeres,0.11645645343356179,0.33368254290444205,0.4226985477337622,0.09030817500351403,0.0368542809247196,0.0899591531581308,0.6521230418309315,0.25791780501093764,0.07828552864918463,0.3722038328725128,0.43386282194614706,0.1156478165321555,24.5111803098828,27.773089839456425,20.69498341089019
24,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Congestionamiento,La falta de comodidad de las unidades del transporte,3,Propia,"$10,001 y $15,000",2,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43,"$10,001 y $15,000",27.0,73,Hombres,0.27664066924213926,0.3920097654747966,0.25951592805904655,0.06874190830728746,0.003091728916730368,0.03146370940965746,0.5535228084248757,0.4150134821654668,0.05994167135221578,0.48922859113513384,0.3827062398054477,0.06812349770720284,17.275863498008167,32.79018106397396,19.672092510941102
25,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,7,Prestada,"$3,001 y $7,000",1,0,0,,Hijo,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22,"$3,001 y $7,000",11.0,58,Mujeres,0.09370157616249405,0.3839834989734821,0.21795889905121504,0.1639059754494216,0.14045005036338762,0.4719297174656587,0.4565216329478792,0.07154864958646215,0.13144274046386806,0.3706357339844403,0.3457693302038346,0.15215219534785696,28.623606298029934,14.319305721312821,20.14904784348544
26,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Congestionamiento,Poca frecuencia de paso en el día,3,Prestada,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,,59.0,39,Hombres,0.01239379975805627,0.44373083674627606,0.49309204385649463,0.04835209886070249,0.002431220778471471,0.04051502487487952,0.6678843151001627,0.2916006600249578,0.16171206079675954,0.591967706440643,0.21764457113223765,0.028675661630359745,24.31431692582455,29.73445458357692,16.90627066876958
27,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,"$15,001 y $25,000",18.0,71,Hombres,0.14615439396425514,0.5124941163760619,0.24244012566752737,0.09439312742645288,0.0045182365657018145,0.10779491951563594,0.6472635045152898,0.2449415759690742,0.07225643417599084,0.535455174575622,0.33324729973618256,0.059041091512204644,19.82075193345892,27.046578178913443,19.032584388676806
28,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Falta de señalamientos,Falta de información de rutas,6,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$3,001 y $7,000",59.0,49,Mujeres,0.09899037972189657,0.33270624417761957,0.3467600419079099,0.1308821090615906,0.09066122513098392,0.1288018997073664,0.6541265654385435,0.21707153485408995,0.07053452811924228,0.36969232644435646,0.40345971290284927,0.1563134325335521,27.291066711632688,25.90139970866727,21.16441639880569
29,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Congestionamiento,Trato del/de la chofer,5,Propia,"Más de $25,001",1,0,2,En la cochera de la casa,Cónyuge,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"Más de $25,001",59.0,54,Hombres,0.026575248477809676,0.15496891169873933,0.3741652488839842,0.27285563365141197,0.17143495728805497,0.006924897737917235,0.383962803913712,0.6091122983483708,0.01853237519263082,0.19357458585349585,0.604484307687069,0.18340873126680446,36.932547933420906,37.843385316302516,23.622155160224377
30,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Insuficiente transporte público,La distancia a las paradas,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0,"$3,001 y $7,000",27.0,26,Hombres,0.12181924636922417,0.8607935423369787,0.015278605226899463,0.0014665229063357448,0.0006420831605624141,0.3078677158971573,0.6352976699092694,0.05683461419357331,0.6903907996985043,0.21017771661101176,0.07506080598468912,0.02437067770579479,13.492167023574316,17.91837094492041,11.467290893582195
31,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,El tiempo de duración de viaje,8,Propia,"$7,001 y $10,000",0,1,0,,Jefe del hogar,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"$7,001 y $10,000",11.0,77,Mujeres,0.08423639980534987,0.24631794619631123,0.27502641511604353,0.18614490370037157,0.20827433518192487,0.5062807469258839,0.3911164542433727,0.1026027988307435,0.07495223752863248,0.23985783451718107,0.33929060238885816,0.3458993255653282,33.48798807785653,14.20912644688589,23.649096127927056
32,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Congestionamiento,Poca frecuencia de paso en la noche,6,Rentada,"$15,001 y $25,000",1,1,0,"En la calle, afuera de la casa",Hijo,Sí,No,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,"$15,001 y $25,000",23.0,43,Hombres,0.008602444092909308,0.2090667986847872,0.41711026985911714,0.2578123028503415,0.10740818451284503,0.06712117789160213,0.796540205493788,0.13633861661461005,0.07132089592908548,0.5166650437429271,0.3492573003753403,0.06275675995264725,34.477685532303695,25.524879912737585,19.227599394812398
33,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,Falta de información de rutas,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0,"$3,001 y $7,000",18.0,68,Mujeres,0.6198057180534537,0.37119351470492756,0.006836962546737958,0.0015615382315939679,0.0006022664632860408,0.40804301024223977,0.5307805190167775,0.06117647074098274,0.6901726558890864,0.22315189294644913,0.06451619134215786,0.02215925982230681,5.888417572436562,15.614026581228847,11.349296440781483
34,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Falta de señalamientos,La distancia a las paradas,3,Rentada,"$7,001 y $10,000",0,0,2,,Hijo,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,"$7,001 y $10,000",18.0,43,Mujeres,0.11206963206019885,0.5903031876464744,0.21956936796089738,0.0750614219303185,0.002996390402110694,0.15014339931103127,0.7870070972225733,0.06284950346639538,0.24585681500368115,0.6340932366572336,0.107893332759831,0.012156615579254256,19.29680344480834,21.842096996262345,15.090797991317265
35,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Rentada,"Más de $25,001",2,0,2,En la cochera de la casa,Hijo,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43,"Más de $25,001",27.0,53,Hombres,0.005701763293860052,0.16801678051134572,0.37743628793614037,0.29821570610609777,0.15062946215255624,0.0070635973402922965,0.5940482339929326,0.398888168666775,0.02788052481781993,0.3011326461092987,0.6265982469632685,0.04438858210961291,37.12709630587697,33.00490154316881,21.499959090917397
36,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Falta de ciclovías,Poca frecuencia de paso en la noche,2,Rentada,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0,"$7,001 y $10,000",11.0,51,Mujeres,0.06712438288384935,0.5992462277511763,0.3256610383658156,0.007309634615539904,0.0006587163836188737,0.28253480771150236,0.6911138880788337,0.026351304209663876,0.6326237478708534,0.3217581952181753,0.038139268276054294,0.007478788634917049,19.460610497323515,17.82524461174621,11.36378478140028
37,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,El costo del viaje,5,Rentada,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,0,0,"$3,001 y $7,000",27.0,31,Mujeres,0.10282304266606604,0.5567986151952322,0.25079461722738555,0.07224043492330641,0.01734328998801002,0.5618496321479466,0.4277533103617057,0.010397057490347732,0.49322450928052514,0.4352199462280201,0.05703558660324449,0.014519957888210382,20.507613057718142,10.75474115072728,12.742807944793123
38,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Congestionamiento,Falta de información de rutas,3,Propia,"$10,001 y $15,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$10,001 y $15,000",27.0,61,Hombres,0.0752579373013514,0.33037721610337234,0.3964940832253492,0.1924720296535507,0.005398733716376965,0.07304111892996479,0.6930215206063678,0.23393736046366756,0.07623637074474633,0.5709721712855165,0.30531558360905836,0.047475874360678856,26.43001094229874,27.627572436345204,18.592247692685362
39,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,La falta de comodidad de las unidades del transporte,4,Prestada,"$3,001 y $7,000",0,0,0,,Otro parentesco,Sí,No,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,"$3,001 y $7,000",0.0,85,Mujeres,0.1685563692977279,0.47364849202283965,0.26093831272879053,0.0874401537326143,0.009416672218028409,0.4889807899608868,0.43778507945783146,0.07323413058128171,0.21809832968409176,0.4927668979410399,0.23626154556897744,0.0528732268058909,19.79047915193509,13.948846044308194,16.991277355973338
40,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,"$10,001 y $15,000",23.0,56,Mujeres,0.094275206549978,0.46054071965698135,0.3665811441975542,0.07593605903502207,0.002666870560464539,0.08921237132887273,0.6956731786395617,0.21511445003156562,0.0777480761701075,0.5901467052571384,0.2853418905460679,0.04676332802668625,21.92786408477825,26.806535438833066,18.408963763434667
41,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"$3,001 y $7,000",11.0,68,Mujeres,0.1777121884492223,0.4577422234406415,0.2382653935033168,0.11255841887177821,0.013721775735041556,0.5022078378350905,0.42810564359112796,0.0696865185737815,0.13442244181488422,0.5086942552536908,0.29449962599585505,0.062383676935569905,20.26707613815178,13.549801819154801,18.278756304416888
42,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Congestionamiento,La distancia a las paradas,8,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$15,001 y $25,000",18.0,52,Hombres,0.0030742897299717424,0.1141840336878785,0.32391233593097674,0.2528322496221738,0.30599709102899963,0.0723293836514303,0.798359177639667,0.1293114387089027,0.08242775037429179,0.3534242666954023,0.43066165816960356,0.13348632476070235,42.05014895456743,25.238257882670435,20.921652458533732
43,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Falta de ciclovías,La distancia a las paradas,4,Propia,"$7,001 y $10,000",1,1,2,"En la calle, afuera de la casa",Jefe del hogar,Sí,Sí,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,22,"$7,001 y $10,000",0.0,46,Hombres,0.01651875013303703,0.37034595632536915,0.3760571813937217,0.17660367479686068,0.06047443735101246,0.356408303359445,0.5503708624809625,0.09322083415959252,0.1522742505288838,0.504472077864597,0.2902403590959079,0.05301331251061131,29.02567168715326,17.590279905043946,17.951941868705973
