folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas
3035,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320180,30,,Trato del/de la chofer,4,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,104,,0.0120255896780911,0.0745053097400204,0.3123789257802923,0.0671404476287412,0.4515045973172583,0.0776472600059978,0.0047978698495985,,25.16624077178226,32,0
3036,2023-02-10 00:00:00+00:00,Tlajomulco,140970884397A,30,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,5,Rentada,"$10,001 y $15,000",1,0,0,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3037,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800142127,30,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Propia,"$7,001 y $10,000",0,0,1,,Cónyuge,Sí,Sí,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
3038,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320180,30,,,6,Prestada,No quiso responder,0,1,0,,Hijo,Sí,No,104,,0.0070920138833179,0.1085819984821931,0.3767309660804109,0.0521871909734735,0.3641457561762455,0.0856773408373589,0.0055847335669999,,24.53746564449922,32,0
3039,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320284,30,Congestionamiento,La distancia a las paradas,3,Propia,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,No,104,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,0,0
3040,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800142127,30,Congestionamiento,La distancia a las paradas,3,Propia,No quiso responder,1,0,3,"En la calle, afuera de la casa",Cónyuge,Sí,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3041,2023-02-10 00:00:00+00:00,Tlajomulco,1409705603467,30,Falta de cruces peatonales,El costo del viaje,3,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3042,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,No quiso responder,0,0,0,,,Sí,No,104,,0.0480803295195931,0.3051924984883184,0.2677366035102907,0.0793226906885425,0.1698153914837335,0.1229034290580601,0.0069490572514615,,22.4277859832538,32,0
3043,2023-02-10 00:00:00+00:00,Tlajomulco,140970884397A,30,Falta de cruces peatonales,El sobrecupo de personas en las unidades del transporte,4,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,Sí,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
3044,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320829,30,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,2,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,No,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
3045,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,5,Propia,"$1,501 y $3,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3046,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320180,30,,,1,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,104,,0.0064949429771644,0.0620824537556197,0.2660536307010065,0.0538682410028137,0.4689471135183222,0.1372503526020733,0.005303265443,,27.920962318166684,32,0
3047,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320180,30,,,3,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
3048,2023-02-10 00:00:00+00:00,Tlajomulco,1409705603467,30,Congestionamiento,Poca frecuencia de paso en el día,3,Propia,"Más de $25,001",2,0,0,En la cochera de la casa,Hijo,Sí,No,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43
3049,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,5,Propia,"$7,001 y $10,000",0,0,0,,Hijo,Sí,Sí,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
3050,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Insuficiente transporte público,Poca frecuencia de paso en la noche,3,Propia,"$7,001 y $10,000",1,0,1,,Jefe del hogar,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3051,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Calles inundadas,El sobrecupo de personas en las unidades del transporte,4,Propia,"$7,001 y $10,000",1,0,2,En la cochera de la casa,Hijo,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3052,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,3,Propia,"$3,001 y $7,000",0,0,0,,Otro parentesco,Sí,Sí,104,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0
3053,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Congestionamiento,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
3054,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
3055,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320829,30,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$10,001 y $15,000",1,0,0,"En la calle, afuera de la casa",Cónyuge,No,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,22
3056,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Tiempos excesivos de traslado,El tiempo de duración de viaje,5,Rentada,"$3,001 y $7,000",0,1,1,,Cónyuge,Sí,Sí,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
3057,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320284,30,Congestionamiento,El tiempo de duración de viaje,3,Propia,"$15,001 y $25,000",0,0,0,,Jefe del hogar,Sí,No,104,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0
3058,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441691,30,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
3059,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320829,30,Congestionamiento,El sobrecupo de personas en las unidades del transporte,2,Rentada,"$7,001 y $10,000",1,0,0,"En la calle, afuera de la casa",Jefe del hogar,No,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,22
3060,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320829,30,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,4,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,No,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
