folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas
1,2023-01-25 00:00:00+00:00,Tlajomulco,1409700251418,30F,Tiempos excesivos de traslado,La distancia a las paradas,5,Propia,"Más de $25,001",2,0,3,En la cochera de la casa,Jefe del hogar,Sí,No,51,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,43
2,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
3,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Pavimento deteriorado,La distancia a las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
4,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,El tiempo de duración de viaje,3,Rentada,"Más de $25,001",1,1,0,"En la calle, afuera de la casa",Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
5,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,6,Propia,"$7,001 y $10,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
6,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
7,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Vialidades insuficientes,Falta de cubiertas para espera en las paradas,3,Rentada,No quiso responder,3,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43
8,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,El costo del viaje,4,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
9,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,7,Rentada,"$15,001 y $25,000",0,1,0,,Jefe del hogar,Sí,Sí,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0
10,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,3,Rentada,"$7,001 y $10,000",1,0,1,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
11,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,7,Rentada,No sabe,0,0,0,,Otro parentesco,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
12,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Pavimento deteriorado,Trato del/de la chofer,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
13,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,6,Prestada,"Más de $25,001",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
14,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Congestionamiento,El costo del viaje,4,Propia,"$15,001 y $25,000",0,0,0,,Hijo,Sí,Sí,249,,0.1972149342887886,0.40480083666241,0.1027161921045759,0.0541488299363059,0.1027955584024542,0.1199453495690939,0.0183782990363712,,18.96153486923828,32,0
15,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de cruces peatonales,La falta de comodidad de las unidades del transporte,2,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,Sí,No,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0
16,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Congestionamiento,Falta de cubiertas para espera en las paradas,7,Propia,"$7,001 y $10,000",0,0,0,,Hijo,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
17,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Tiempos excesivos de traslado,Falta de información de rutas,4,Propia,"$15,001 y $25,000",2,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43
18,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,Poca frecuencia de paso en el día,6,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
19,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,La distancia a las paradas,5,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
20,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,El tiempo de duración de viaje,4,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
21,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,5,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,22
22,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,4,Propia,"$7,001 y $10,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
23,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Falta de señalamientos,Falta de información de rutas,5,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
24,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Congestionamiento,La falta de comodidad de las unidades del transporte,3,Propia,"$10,001 y $15,000",2,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43
25,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,7,Prestada,"$3,001 y $7,000",1,0,0,,Hijo,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22
26,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Congestionamiento,Poca frecuencia de paso en el día,3,Prestada,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
27,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
28,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Falta de señalamientos,Falta de información de rutas,6,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
29,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Congestionamiento,Trato del/de la chofer,5,Propia,"Más de $25,001",1,0,2,En la cochera de la casa,Cónyuge,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
30,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Insuficiente transporte público,La distancia a las paradas,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
31,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,El tiempo de duración de viaje,8,Propia,"$7,001 y $10,000",0,1,0,,Jefe del hogar,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
32,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Congestionamiento,Poca frecuencia de paso en la noche,6,Rentada,"$15,001 y $25,000",1,1,0,"En la calle, afuera de la casa",Hijo,Sí,No,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22
33,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,Falta de información de rutas,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
34,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Falta de señalamientos,La distancia a las paradas,3,Rentada,"$7,001 y $10,000",0,0,2,,Hijo,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
35,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Rentada,"Más de $25,001",2,0,2,En la cochera de la casa,Hijo,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43
36,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Falta de ciclovías,Poca frecuencia de paso en la noche,2,Rentada,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
37,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,El costo del viaje,5,Rentada,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,0,0
38,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Congestionamiento,Falta de información de rutas,3,Propia,"$10,001 y $15,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
39,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,La falta de comodidad de las unidades del transporte,4,Prestada,"$3,001 y $7,000",0,0,0,,Otro parentesco,Sí,No,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0
40,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22
41,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
42,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Congestionamiento,La distancia a las paradas,8,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
43,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Falta de ciclovías,La distancia a las paradas,4,Propia,"$7,001 y $10,000",1,1,2,"En la calle, afuera de la casa",Jefe del hogar,Sí,Sí,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,22
44,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,Poca frecuencia de paso en la noche,2,Propia,"$15,001 y $25,000",2,1,1,En la cochera de la casa,Jefe del hogar,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43
45,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Propia,"$10,001 y $15,000",1,0,2,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
46,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Falta de estacionamiento,La distancia a las paradas,2,Propia,"$3,001 y $7,000",0,0,0,,Cónyuge,No,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,0,0
47,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,5,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
48,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,3,Propia,"$10,001 y $15,000",0,0,3,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
49,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,2,Propia,"$10,001 y $15,000",2,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43
50,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Falta de cruces peatonales,Falta de cubiertas para espera en las paradas,3,Prestada,"$15,001 y $25,000",1,0,0,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
51,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Congestionamiento,El tiempo de duración de viaje,5,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
52,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de señalamientos,El sobrecupo de personas en las unidades del transporte,2,Propia,"Hasta $1,500",1,0,0,,Jefe del hogar,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,22
53,2023-01-26 00:00:00+00:00,Guadalajara,140390001090A,09,Congestionamiento,El tiempo de duración de viaje,5,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
54,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Propia,"$7,001 y $10,000",0,1,0,,Hijo,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
55,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Congestionamiento,Falta de información de rutas,2,Propia,"$10,001 y $15,000",0,0,0,,Cónyuge,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
56,2023-01-26 00:00:00+00:00,Guadalajara,1403900015296,09,Vialidades insuficientes,Falta de información de rutas,3,Propia,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
57,2023-01-26 00:00:00+00:00,Guadalajara,1403900015296,09,Falta de estacionamiento,La falta de comodidad de las unidades del transporte,6,Rentada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
58,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Insuficiente transporte público,Poca frecuencia de paso en el día,6,Propia,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
59,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Falta de ciclovías,Conducción del/ de la chofer,3,Prestada,"$10,001 y $15,000",1,0,2,,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
60,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Congestionamiento,El costo del viaje,2,Rentada,"$10,001 y $15,000",0,1,1,,Jefe del hogar,No,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
61,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Pavimento deteriorado,Falta de información de rutas,2,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
62,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,Poca frecuencia de paso en el día,5,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
63,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Rentada,No quiso responder,1,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
64,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,La distancia a las paradas,1,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
65,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,El tiempo de duración de viaje,4,Propia,No sabe,1,0,0,"En la calle, afuera de la casa",Otro parentesco,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22
66,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Falta de cruces peatonales,El sobrecupo de personas en las unidades del transporte,3,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
67,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Falta de estacionamiento,Falta de información de rutas,2,Propia,"$1,501 y $3,000",1,0,0,,Cónyuge,No,Sí,249,,0.0867898246584574,0.6404809446893521,0.1213686583909725,0.0318619577439314,0.0546073271652109,0.0530720845387019,0.0118192028133736,,15.573034331111671,0,22
68,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de cruces peatonales,Falta de información de rutas,4,Propia,"$3,001 y $7,000",0,1,0,,Cónyuge,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
69,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Congestionamiento,La distancia a las paradas,5,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
70,2023-01-26 00:00:00+00:00,Guadalajara,1403900014226,09,Pavimento deteriorado,Poca frecuencia de paso en el día,4,Propia,"$10,001 y $15,000",1,0,2,En la cochera de la casa,Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
71,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Insuficiente transporte público,Falta de información de rutas,3,Rentada,"$3,001 y $7,000",1,0,1,"En la calle, afuera de la casa",Otro parentesco,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
72,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,No,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
73,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de estacionamiento,Poca frecuencia de paso en el día,6,Rentada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
74,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Tiempos excesivos de traslado,Poca frecuencia de paso en la noche,3,Rentada,"$10,001 y $15,000",0,0,1,,Hijo,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
75,2023-01-26 00:00:00+00:00,Guadalajara,1403900015296,09,Congestionamiento,Poca frecuencia de paso en el día,5,Propia,"$15,001 y $25,000",1,0,1,En la cochera de la casa,Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
76,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,4,Propia,"Más de $25,001",2,1,3,En la cochera de la casa,Jefe del hogar,Sí,No,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43
77,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Falta de estacionamiento,Poca frecuencia de paso en la noche,4,Rentada,"$3,001 y $7,000",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,Sí,249,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
78,2023-01-26 00:00:00+00:00,Guadalajara,1403900014226,09,Insuficiente transporte público,Trato del/de la chofer,4,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
80,2023-01-26 00:00:00+00:00,Guadalajara,1403900014245,09,Insuficiente transporte público,Falta de información de rutas,6,Rentada,No sabe,1,0,0,"En la calle, afuera de la casa",Cónyuge,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
81,2023-01-26 00:00:00+00:00,Guadalajara,140390001083A,09,Vialidades insuficientes,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Hijo,Sí,No,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,22
82,2023-01-26 00:00:00+00:00,Guadalajara,1403900015012,09,Insuficiente transporte público,Poca frecuencia de paso en el día,2,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
83,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Falta de ciclovías,Poca frecuencia de paso en la noche,5,Propia,"$1,501 y $3,000",1,0,1,"En la calle, afuera de la casa",Hijo,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22
84,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Falta de estacionamiento,La falta de comodidad de las unidades del transporte,5,Propia,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
85,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
86,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Congestionamiento,La falta de comodidad de las unidades del transporte,3,Propia,"$10,001 y $15,000",1,4 o más,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
87,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,El costo del viaje,4,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,Sí,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
88,2023-01-26 00:00:00+00:00,Guadalajara,1403900013800,09,Falta de estacionamiento,Poca frecuencia de paso en la noche,2,Rentada,"$1,501 y $3,000",0,1,1,,Jefe del hogar,No,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
89,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Calles inundadas,Falta de información de rutas,3,Prestada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,No,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
90,2023-01-26 00:00:00+00:00,Guadalajara,1403900014226,09,Falta de estacionamiento,Poca frecuencia de paso en el día,1,Propia,"$10,001 y $15,000",1,0,0,,Jefe del hogar,No,Sí,249,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22
