folio_vivienda,folio_habitante,parentesco,jefe_hogar_asignacion_artificial,jefe_hogar_fuente,edad,sexo_nacimiento,estado_civil,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,tiene_internet,weekend_mode_auto_particular,weekend_mode_camion_autobus,weekend_mode_a_pie,salio_casa_ayer,weekend_dest_visitar,weekend_dest_compras_bienes_servicios,centralidad,ageb,escolaridad,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar
11165,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11165,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166,1,Jefe del hogar,Jefe del hogar,observado,54.0,Hombres,Casado,5,Propia,"$3,001 y $7,000",0,Sí,No,Sí,No,Sí,No,No,01,1412000013787,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11166,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166,5,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11167,1,Jefe del hogar,Jefe del hogar,observado,67.0,Hombres,Casado,3,Propia,No sabe,0,No,No,Sí,Sí,Sí,No,No,01,1412000014291,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
11167,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11167,3,Jefe del hogar,Jefe del hogar,observado,61.0,Hombres,Casado,3,Propia,No sabe,0,No,No,Sí,Sí,Sí,Sí,No,01,1412000014291,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11168,1,Jefe del hogar,Jefe del hogar,observado,34.0,Hombres,Unión libre,6,Hipotecada,No quiso responder,0,No,No,Sí,No,Sí,No,No,01,1412000013113,,,0.00770913632898396,0.11428108578362206,0.4110193414399453,0.057310506564777416,0.2687035974373048,0.13490563473701495,0.006070697708351588,,25.704020626029735
11168,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11168,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11168,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11168,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11168,6,Compañero,Compañero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
