folio_vivienda,folio_habitante,parentesco,jefe_hogar_asignacion_artificial,jefe_hogar_fuente,edad,sexo_nacimiento,estado_civil,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,tiene_internet,weekend_mode_auto_particular,weekend_mode_camion_autobus,weekend_mode_a_pie,salio_casa_ayer,weekend_dest_visitar,weekend_dest_compras_bienes_servicios,centralidad,ageb,escolaridad,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar
1,1,Jefe del hogar,Jefe del hogar,observado,51.0,Hombres,Casado,5,Propia,"Más de $25,001",2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,30F,1409700251418,Maestría o doctorado,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85,85.0
1,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Jefe del hogar,Jefe del hogar,observado,68.0,Hombres,Soltero,3,Rentada,"$3,001 y $7,000",0,Sí,No,Sí,No,Sí,No,Sí,09,1403900010859,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
2,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Compañero,Compañero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,Jefe del hogar,Jefe del hogar,observado,25.0,Hombres,Casado,3,Prestada,No quiso responder,0,Sí,Sí,Sí,Sí,Sí,Sí,Sí,09,1403900010539,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
4,1,Jefe del hogar,Jefe del hogar,observado,63.0,Hombres,Casado,3,Rentada,"Más de $25,001",1,Sí,Sí,No,No,Sí,Sí,Sí,09,1403900010539,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
4,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Jefe del hogar,Jefe del hogar,observado,46.0,Hombres,Casado,6,Propia,"$7,001 y $10,000",1,Sí,No,No,No,Sí,No,No,09,1403900010539,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
5,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Jefe del hogar,Jefe del hogar,observado,57.0,Hombres,Casado,6,Rentada,"$15,001 y $25,000",1,Sí,No,Sí,No,Sí,Sí,No,09,1403900010825,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
6,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Sin parentesco,Sin parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,Jefe del hogar,Jefe del hogar,observado,46.0,Hombres,Unión libre,3,Rentada,No quiso responder,3,Sí,Sí,No,No,Sí,Sí,No,09,1403900013209,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
7,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Jefe del hogar,Jefe del hogar,observado,60.0,Hombres,Casado,4,Propia,"$15,001 y $25,000",1,Sí,Sí,No,Sí,Sí,No,Sí,09,140390001418A,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
8,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Cónyuge,Jefe del hogar,artificial_mayor_edad,61.0,Mujeres,Soltero,7,Rentada,"$15,001 y $25,000",0,Sí,No,Sí,Sí,Sí,No,Sí,09,1403900014283,Carrera técnica con secundaria terminada,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
9,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,Jefe del hogar,Jefe del hogar,observado,45.0,Mujeres,Casado,3,Rentada,"$7,001 y $10,000",1,Sí,No,No,Sí,No,No,Sí,09,140390001418A,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
10,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,Otro parentesco,Jefe del hogar,artificial_mayor_edad,47.0,Hombres,Casado,7,Rentada,No sabe,0,Sí,No,No,No,Sí,No,No,09,1403900014245,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,Jefe del hogar,Jefe del hogar,observado,74.0,Hombres,Viudo,4,Propia,"$3,001 y $7,000",0,No,No,No,Sí,Sí,No,No,09,1403900014245,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
12,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,Jefe del hogar,Jefe del hogar,observado,60.0,Mujeres,Casado,4,Propia,"$3,001 y $7,000",0,No,No,No,No,Sí,No,No,09,1403900014245,Ninguno,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
13,1,Jefe del hogar,Jefe del hogar,observado,58.0,Hombres,Casado,6,Prestada,"Más de $25,001",0,Sí,No,Sí,No,Sí,Sí,Sí,09,1403900010539,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
13,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,Otro parentesco,Jefe del hogar,artificial_mayor_edad,99.0,Hombres,Viudo,4,Propia,"$15,001 y $25,000",0,Sí,Sí,No,No,No,No,No,09,140390001418A,No sabe,,0.1972149342887886,0.40480083666241007,0.10271619210457592,0.05414882993630599,0.10279555840245427,0.11994534956909392,0.018378299036371244,,18.961534869238278
15,1,Jefe del hogar,Jefe del hogar,observado,81.0,Mujeres,Viudo,2,Propia,"$1,501 y $3,000",0,Sí,No,No,No,No,No,No,09,1403900010859,Ninguno,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
15,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,Otro parentesco,Jefe del hogar,artificial_mayor_edad,46.0,Hombres,Casado,7,Propia,"$7,001 y $10,000",0,Sí,No,Sí,Sí,Sí,No,No,09,1403900014245,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
16,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,Jefe del hogar,Jefe del hogar,observado,41.0,Hombres,Casado,4,Propia,"$15,001 y $25,000",2,Sí,Sí,No,No,Sí,Sí,Sí,09,1403900013209,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
17,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,Jefe del hogar,Jefe del hogar,observado,50.0,Hombres,Casado,6,Propia,"$10,001 y $15,000",1,Sí,Sí,No,No,Sí,Sí,Sí,09,140390001418A,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
18,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,Jefe del hogar,Jefe del hogar,observado,54.0,Mujeres,Casado,5,Propia,"$1,501 y $3,000",0,No,No,No,Sí,Sí,No,No,09,1403900015012,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
19,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,Jefe del hogar,Jefe del hogar,observado,31.0,Mujeres,Casado,4,Prestada,No quiso responder,0,Sí,No,No,No,No,No,No,09,1403900015012,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
21,1,Jefe del hogar,Jefe del hogar,observado,74.0,Hombres,Casado,5,Propia,"$15,001 y $25,000",1,Sí,Sí,No,No,Sí,No,No,09,1403900010825,Maestría o doctorado,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85,85.0
21,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,Sin parentesco,Sin parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,Jefe del hogar,Jefe del hogar,observado,57.0,Mujeres,Casado,5,Propia,"$15,001 y $25,000",1,Sí,No,Sí,Sí,Sí,Sí,Sí,09,1403900010825,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
22,1,Jefe del hogar,Jefe del hogar,observado,52.0,Mujeres,Casado,4,Propia,"$7,001 y $10,000",1,Sí,Sí,No,No,Sí,No,Sí,09,140390001083A,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
22,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,Jefe del hogar,Jefe del hogar,observado,55.0,Mujeres,Casado,5,Propia,"$3,001 y $7,000",1,Sí,No,No,No,No,No,No,09,140390001083A,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
23,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,Jefe del hogar,Jefe del hogar,observado,73.0,Hombres,Casado,3,Propia,"$10,001 y $15,000",2,Sí,No,No,Sí,Sí,Sí,No,09,140390001418A,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
24,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,Jefe del hogar,Jefe del hogar,observado,58.0,Mujeres,Viudo,7,Prestada,"$3,001 y $7,000",1,Sí,No,Sí,No,Sí,No,No,09,1403900010859,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
25,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,Jefe del hogar,Jefe del hogar,observado,39.0,Hombres,Casado,3,Prestada,No quiso responder,1,Sí,Sí,Sí,Sí,Sí,Sí,No,09,1403900014245,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
26,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,Jefe del hogar,Jefe del hogar,observado,71.0,Hombres,Casado,3,Propia,"$15,001 y $25,000",0,Sí,No,No,Sí,No,No,No,09,140390001418A,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
27,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,Jefe del hogar,Jefe del hogar,observado,49.0,Mujeres,Casado,6,Propia,"$3,001 y $7,000",1,Sí,Sí,No,No,Sí,Sí,Sí,09,140390001083A,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
28,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,Jefe del hogar,Jefe del hogar,observado,54.0,Hombres,Casado,5,Propia,"Más de $25,001",1,Sí,Sí,No,No,Sí,Sí,Sí,09,1403900013209,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
29,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,Jefe del hogar,Jefe del hogar,observado,26.0,Hombres,Soltero,1,Propia,"$3,001 y $7,000",0,Sí,No,No,No,Sí,Sí,No,09,1403900014245,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
31,1,Jefe del hogar,Jefe del hogar,observado,77.0,Mujeres,Viudo,8,Propia,"$7,001 y $10,000",0,Sí,No,Sí,Sí,Sí,Sí,No,09,1403900010859,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
31,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,Jefe del hogar,Jefe del hogar,observado,43.0,Hombres,Casado,6,Rentada,"$15,001 y $25,000",1,Sí,Sí,No,No,Sí,Sí,No,09,1403900014283,Carrera técnica con preparatoria terminada,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
32,3,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,Jefe del hogar,Jefe del hogar,observado,68.0,Mujeres,Soltero,1,Propia,"$3,001 y $7,000",0,No,No,No,Sí,Sí,No,Sí,09,1403900015012,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
34,1,Otro parentesco,Jefe del hogar,artificial_mayor_edad,43.0,Mujeres,Soltero,3,Rentada,"$7,001 y $10,000",0,Sí,No,Sí,No,Sí,No,No,09,1403900014245,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
34,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,Jefe del hogar,Jefe del hogar,observado,53.0,Hombres,Casado,4,Rentada,"Más de $25,001",2,Sí,No,Sí,Sí,Sí,Sí,Sí,09,1403900013209,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
35,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,Jefe del hogar,Jefe del hogar,observado,51.0,Mujeres,Divorciado,2,Rentada,"$7,001 y $10,000",0,No,No,Sí,Sí,No,No,Sí,09,1403900013800,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
36,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,Jefe del hogar,Jefe del hogar,observado,31.0,Mujeres,Casado,5,Rentada,"$3,001 y $7,000",0,No,No,Sí,Sí,Sí,No,Sí,09,1403900015012,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
37,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,Jefe del hogar,Jefe del hogar,observado,61.0,Hombres,Casado,3,Propia,"$10,001 y $15,000",1,Sí,Sí,No,No,Sí,No,No,09,1403900013800,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
38,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,Jefe del hogar,Jefe del hogar,observado,85.0,Mujeres,Soltero,4,Prestada,"$3,001 y $7,000",0,Sí,No,No,No,No,No,No,09,1403900010539,Ninguno,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
39,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,Jefe del hogar,Jefe del hogar,observado,56.0,Mujeres,Casado,3,Propia,"$10,001 y $15,000",1,Sí,Sí,No,No,No,Sí,No,09,140390001418A,Carrera técnica con preparatoria terminada,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
40,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,Jefe del hogar,Jefe del hogar,observado,68.0,Mujeres,Soltero,4,Propia,"$3,001 y $7,000",0,Sí,No,Sí,Sí,Sí,Sí,Sí,09,1403900014245,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
41,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,Jefe del hogar,Jefe del hogar,observado,52.0,Hombres,Casado,8,Rentada,"$15,001 y $25,000",1,Sí,No,No,No,No,No,No,09,1403900010825,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
42,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,Jefe del hogar,Jefe del hogar,observado,40.0,Hombres,Casado,8,Rentada,"$15,001 y $25,000",1,Sí,No,Sí,Sí,Sí,Sí,No,09,1403900010825,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
43,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,Jefe del hogar,Jefe del hogar,observado,46.0,Hombres,Casado,4,Propia,"$7,001 y $10,000",1,Sí,Sí,No,No,Sí,No,Sí,09,1403900015012,Ninguno,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
43,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,Jefe del hogar,Jefe del hogar,observado,35.0,Hombres,Casado,2,Propia,"$15,001 y $25,000",2,Sí,Sí,No,No,Sí,No,Sí,09,1403900010539,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
44,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,Jefe del hogar,Jefe del hogar,observado,32.0,Mujeres,Casado,4,Propia,"$10,001 y $15,000",1,Sí,Sí,No,Sí,Sí,Sí,Sí,09,1403900015012,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
45,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,Jefe del hogar,Jefe del hogar,observado,71.0,Hombres,Unión libre,2,Propia,"$3,001 y $7,000",0,No,Sí,No,Sí,Sí,Sí,Sí,09,1403900014245,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
46,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,Jefe del hogar,Jefe del hogar,observado,73.0,Hombres,Casado,5,Propia,"$10,001 y $15,000",1,Sí,Sí,No,Sí,Sí,Sí,No,09,140390001418A,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
47,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,Jefe del hogar,Jefe del hogar,observado,41.0,Mujeres,Casado,3,Propia,"$10,001 y $15,000",0,Sí,No,Sí,Sí,No,Sí,Sí,09,1403900013800,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
