Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
2,26-Jan-23,Guadalajara,1403900010859,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249
3,26-Jan-23,Guadalajara,1403900010539,09,Pavimento deteriorado,La distancia a las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249
9,26-Jan-23,Guadalajara,1403900014283,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,7,Rentada,"$15,001 y $25,000",0,1,0,,Jefe del hogar,Sí,Sí,249
11,26-Jan-23,Guadalajara,1403900014245,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,7,Rentada,No sabe,0,0,0,,Otro parentesco,Sí,No,249
12,26-Jan-23,Guadalajara,1403900014245,09,Pavimento deteriorado,Trato del/de la chofer,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249
13,26-Jan-23,Guadalajara,1403900010539,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,6,Prestada,"Más de $25,001",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249
14,26-Jan-23,Guadalajara,140390001418A,09,Congestionamiento,El costo del viaje,4,Propia,"$15,001 y $25,000",0,0,0,,Hijo,Sí,Sí,249
15,26-Jan-23,Guadalajara,1403900010859,09,Falta de cruces peatonales,La falta de comodidad de las unidades del transporte,2,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,Sí,No,249
16,26-Jan-23,Guadalajara,1403900014245,09,Congestionamiento,Falta de cubiertas para espera en las paradas,7,Propia,"$7,001 y $10,000",0,0,0,,Hijo,Sí,Sí,249
19,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,La distancia a las paradas,5,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,249
20,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,El tiempo de duración de viaje,4,Prestada,No quiso responder,0,0,0,,,Sí,No,249
27,26-Jan-23,Guadalajara,140390001418A,09,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249
30,26-Jan-23,Guadalajara,1403900014245,09,Insuficiente transporte público,La distancia a las paradas,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249
31,26-Jan-23,Guadalajara,1403900010859,09,Congestionamiento,El tiempo de duración de viaje,8,Propia,"$7,001 y $10,000",0,1,0,,Jefe del hogar,Sí,Sí,249
33,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,Falta de información de rutas,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249
34,26-Jan-23,Guadalajara,1403900014245,09,Falta de señalamientos,La distancia a las paradas,3,Rentada,"$7,001 y $10,000",0,0,2,,Hijo,Sí,Sí,249
36,26-Jan-23,Guadalajara,1403900013800,09,Falta de ciclovías,Poca frecuencia de paso en la noche,2,Rentada,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,No,249
37,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,El costo del viaje,5,Rentada,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,No,249
39,26-Jan-23,Guadalajara,1403900010539,09,Congestionamiento,La falta de comodidad de las unidades del transporte,4,Prestada,"$3,001 y $7,000",0,0,0,,Otro parentesco,Sí,No,249
41,26-Jan-23,Guadalajara,1403900014245,09,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249
46,26-Jan-23,Guadalajara,1403900014245,09,Falta de estacionamiento,La distancia a las paradas,2,Propia,"$3,001 y $7,000",0,0,0,,Cónyuge,No,Sí,249
48,26-Jan-23,Guadalajara,1403900013800,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,3,Propia,"$10,001 y $15,000",0,0,3,,Jefe del hogar,Sí,No,249
51,26-Jan-23,Guadalajara,1403900014283,09,Congestionamiento,El tiempo de duración de viaje,5,Prestada,No quiso responder,0,0,0,,,Sí,No,249
53,26-Jan-23,Guadalajara,140390001090A,09,Congestionamiento,El tiempo de duración de viaje,5,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249
54,26-Jan-23,Guadalajara,1403900010539,09,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Propia,"$7,001 y $10,000",0,1,0,,Hijo,Sí,Sí,249
55,26-Jan-23,Guadalajara,1403900013209,09,Congestionamiento,Falta de información de rutas,2,Propia,"$10,001 y $15,000",0,0,0,,Cónyuge,No,No,249
57,26-Jan-23,Guadalajara,1403900015296,09,Falta de estacionamiento,La falta de comodidad de las unidades del transporte,6,Rentada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,No,249
58,26-Jan-23,Guadalajara,1403900014283,09,Insuficiente transporte público,Poca frecuencia de paso en el día,6,Propia,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249
60,26-Jan-23,Guadalajara,140390001418A,09,Congestionamiento,El costo del viaje,2,Rentada,"$10,001 y $15,000",0,1,1,,Jefe del hogar,No,No,249
61,26-Jan-23,Guadalajara,1403900014245,09,Pavimento deteriorado,Falta de información de rutas,2,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,249
62,26-Jan-23,Guadalajara,1403900010859,09,Congestionamiento,Poca frecuencia de paso en el día,5,Prestada,No quiso responder,0,0,0,,,Sí,No,249
64,26-Jan-23,Guadalajara,1403900010539,09,Falta de señalamientos,La distancia a las paradas,1,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,249
68,26-Jan-23,Guadalajara,1403900010859,09,Falta de cruces peatonales,Falta de información de rutas,4,Propia,"$3,001 y $7,000",0,1,0,,Cónyuge,No,No,249
72,26-Jan-23,Guadalajara,1403900014283,09,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,No,No,249
73,26-Jan-23,Guadalajara,1403900010859,09,Falta de estacionamiento,Poca frecuencia de paso en el día,6,Rentada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,Sí,249
74,26-Jan-23,Guadalajara,1403900013800,09,Tiempos excesivos de traslado,Poca frecuencia de paso en la noche,3,Rentada,"$10,001 y $15,000",0,0,1,,Hijo,Sí,Sí,249
77,26-Jan-23,Guadalajara,1403900013800,09,Falta de estacionamiento,Poca frecuencia de paso en la noche,4,Rentada,"$3,001 y $7,000",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,Sí,249
82,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,Poca frecuencia de paso en el día,2,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,249
85,26-Jan-23,Guadalajara,1403900014283,09,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,No,249
87,26-Jan-23,Guadalajara,1403900010539,09,Congestionamiento,El costo del viaje,4,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,Sí,249
88,26-Jan-23,Guadalajara,1403900013800,09,Falta de estacionamiento,Poca frecuencia de paso en la noche,2,Rentada,"$1,501 y $3,000",0,1,1,,Jefe del hogar,No,Sí,249
89,26-Jan-23,Guadalajara,1403900010539,09,Calles inundadas,Falta de información de rutas,3,Prestada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,No,249
91,26-Jan-23,Guadalajara,1403900015296,09,Congestionamiento,El costo del viaje,3,Propia,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,No,249
93,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,249
94,26-Jan-23,Guadalajara,1403900014226,09,Pavimento deteriorado,Poca frecuencia de paso en el día,7,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,249
95,26-Jan-23,Guadalajara,1403900014226,09,Falta de señalamientos,La distancia a las paradas,1,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,No,249
96,26-Jan-23,Guadalajara,1403900010825,09,Falta de señalamientos,La distancia a las paradas,3,Propia,"$15,001 y $25,000",0,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
97,26-Jan-23,Guadalajara,1403900014226,09,Vialidades insuficientes,El costo del viaje,1,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,No,249
98,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,El costo del viaje,1,Propia,No sabe,0,0,0,,Jefe del hogar,No,Sí,249
99,26-Jan-23,Guadalajara,140390001090A,09,Vialidades insuficientes,La distancia a las paradas,2,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,No,249
100,26-Jan-23,Guadalajara,1403900010539,09,Pavimento deteriorado,La falta de comodidad de las unidades del transporte,2,Rentada,"$3,001 y $7,000",0,0,0,,Cónyuge,No,No,249
102,26-Jan-23,Guadalajara,1403900010859,09,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,3,Prestada,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,Sí,249
106,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,Poca frecuencia de paso en el día,1,Prestada,"$1,501 y $3,000",0,0,1,,Jefe del hogar,No,Sí,249
109,26-Jan-23,Guadalajara,1403900014226,09,Pavimento deteriorado,Poca frecuencia de paso en el día,4,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,No,No,249
113,26-Jan-23,Guadalajara,1403900010539,09,Calles inundadas,El tiempo de duración de viaje,5,Propia,"$10,001 y $15,000",0,1,1,,Jefe del hogar,Sí,No,249
118,26-Jan-23,Guadalajara,1403900014245,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,2,Propia,"$3,001 y $7,000",0,0,1,,Nieto,Sí,No,249
119,26-Jan-23,Guadalajara,1403900014283,09,Calles inundadas,La falta de comodidad de las unidades del transporte,6,Rentada,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249
122,26-Jan-23,Guadalajara,1403900013209,09,Vialidades insuficientes,Falta de cubiertas para espera en las paradas,1,Prestada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,249
123,26-Jan-23,Guadalajara,1403900014226,09,Pavimento deteriorado,El costo del viaje,1,Propia,"$3,001 y $7,000",0,1,0,,Jefe del hogar,No,No,249
125,26-Jan-23,Guadalajara,1403900013800,09,Congestionamiento,Poca frecuencia de paso en la noche,3,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,Sí,249
126,26-Jan-23,Guadalajara,1403900015008,09,Insuficiente transporte público,La distancia a las paradas,6,Propia,No sabe,0,0,0,,Jefe del hogar,Sí,Sí,249
127,26-Jan-23,Guadalajara,1403900013177,09,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",0,0,1,,Cónyuge,Sí,Sí,249
134,26-Jan-23,Guadalajara,1403900014283,09,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,2,Propia,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,No,249
136,26-Jan-23,Guadalajara,1403900015296,09,Tiempos excesivos de traslado,El costo del viaje,4,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,No,249
138,26-Jan-23,Guadalajara,1403900015243,09,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",0,0,1,,Cónyuge,Sí,Sí,249
147,26-Jan-23,Guadalajara,1403900013177,09,Pavimento deteriorado,Falta de información de rutas,5,Rentada,"$3,001 y $7,000",0,0,0,,Cónyuge,Sí,Sí,249
148,26-Jan-23,Guadalajara,1403900011471,09,Tiempos excesivos de traslado,Poca frecuencia de paso en la noche,3,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,249
151,26-Jan-23,Guadalajara,1403900015243,09,Falta de estacionamiento,Falta de cubiertas para espera en las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249
152,26-Jan-23,Guadalajara,1403900013209,09,Falta de estacionamiento,El tiempo de duración de viaje,3,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,No,249
153,26-Jan-23,Guadalajara,1403900015277,09,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,4,Propia,"$15,001 y $25,000",0,0,0,,Cónyuge,Sí,Sí,249
154,26-Jan-23,Guadalajara,1403900015277,09,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,5,Prestada,No quiso responder,0,0,0,,,Sí,No,249
155,26-Jan-23,Guadalajara,1403900011471,09,Falta de cruces peatonales,Poca frecuencia de paso en la noche,2,Prestada,"$7,001 y $10,000",0,0,0,,Hijo,Sí,No,249
156,26-Jan-23,Guadalajara,1403900015277,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,No,249
158,26-Jan-23,Guadalajara,1403900010859,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,4,Propia,"$1,501 y $3,000",0,0,1,,Jefe del hogar,No,Sí,249
159,26-Jan-23,Guadalajara,1403900015243,09,Congestionamiento,Poca frecuencia de paso en la noche,4,Propia,"$7,001 y $10,000",0,0,2,,Cónyuge,Sí,No,249
161,26-Jan-23,Guadalajara,1403900011471,09,Tiempos excesivos de traslado,Falta de información de rutas,2,Propia,"Más de $25,001",0,1,4 o más,"En la calle, pero no frente a mi casa",Jefe del hogar,Sí,Sí,249
162,26-Jan-23,Guadalajara,1403900015008,09,Insuficiente transporte público,El tiempo de duración de viaje,2,Prestada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,249
167,26-Jan-23,Guadalajara,1403900010882,09,Falta de señalamientos,La falta de comodidad de las unidades del transporte,2,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,249
168,26-Jan-23,Guadalajara,1403900015277,09,Falta de señalamientos,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",0,0,1,,Jefe del hogar,Sí,No,249
169,26-Jan-23,Guadalajara,140390001083A,09,Congestionamiento,Poca frecuencia de paso en el día,5,Hipotecada,No quiso responder,0,0,0,,,No,No,249
173,26-Jan-23,Guadalajara,1403900015008,09,Insuficiente transporte público,La distancia a las paradas,3,Propia,"$7,001 y $10,000",0,0,1,,Otro parentesco,Sí,Sí,249
179,26-Jan-23,Guadalajara,1403900013177,09,Vialidades insuficientes,La falta de comodidad de las unidades del transporte,4,Propia,"$3,001 y $7,000",0,0,0,,Hijo,Sí,No,249
180,26-Jan-23,Guadalajara,1403900015243,09,Falta de estacionamiento,Poca frecuencia de paso en el día,6,Propia,"$7,001 y $10,000",0,0,3,,Cónyuge,Sí,No,249
181,26-Jan-23,Guadalajara,1403900010882,09,Insuficiente transporte público,Falta de información de rutas,4,Propia,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,No,249
183,26-Jan-23,Guadalajara,140390001090A,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,5,Propia,"$15,001 y $25,000",0,0,1,,Cónyuge,No,No,249
184,26-Jan-23,Guadalajara,1403900010882,09,Calles inundadas,El costo del viaje,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,249
185,26-Jan-23,Guadalajara,1403900011471,09,Calles inundadas,La distancia a las paradas,1,Propia,"Hasta $1,500",0,0,0,,Jefe del hogar,No,Sí,249
189,26-Jan-23,Guadalajara,1403900010882,09,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,Sí,249
190,26-Jan-23,Guadalajara,1403900010882,09,Falta de cruces peatonales,El costo del viaje,6,Propia,"$3,001 y $7,000",0,0,3,,Cónyuge,Sí,Sí,249
193,26-Jan-23,Guadalajara,1403900013209,09,Falta de estacionamiento,Falta de información de rutas,3,Hipotecada,No quiso responder,0,0,0,,,Sí,No,249
195,26-Jan-23,Guadalajara,1403900011471,09,Tiempos excesivos de traslado,La distancia a las paradas,3,Propia,"$3,001 y $7,000",0,1,0,,Jefe del hogar,Sí,Sí,249
196,26-Jan-23,Guadalajara,1403900015008,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,2,Rentada,No sabe,0,0,0,,Jefe del hogar,No,No,249
199,26-Jan-23,Guadalajara,1403900015008,09,Tiempos excesivos de traslado,Trato del/de la chofer,3,Propia,"$10,001 y $15,000",0,0,1,,Jefe del hogar,Sí,Sí,249
200,26-Jan-23,Guadalajara,1403900015243,09,Falta de señalamientos,Poca frecuencia de paso en el día,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,Sí,249
202,26-Jan-23,Guadalajara,1403900013872,09,Vialidades insuficientes,Falta de información de rutas,2,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,249
203,26-Jan-23,Guadalajara,1403900010882,09,Congestionamiento,Poca frecuencia de paso en el día,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,249
204,26-Jan-23,Guadalajara,1403900015008,09,Insuficiente transporte público,El tiempo de duración de viaje,4,Propia,"$10,001 y $15,000",0,0,0,,Cónyuge,No,Sí,249
208,26-Jan-23,Guadalajara,1403900010882,09,Falta de estacionamiento,El costo del viaje,1,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,Sí,249
213,26-Jan-23,Guadalajara,1403900015277,09,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,No,249
216,26-Jan-23,Guadalajara,1403900015277,09,Tiempos excesivos de traslado,El tiempo de duración de viaje,2,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,No,No,249
217,26-Jan-23,Guadalajara,1403900015243,09,Vialidades insuficientes,Conducción del/ de la chofer,3,Rentada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,249
220,26-Jan-23,Guadalajara,1403900013872,09,Insuficiente transporte público,Trato del/de la chofer,3,Rentada,"$10,001 y $15,000",0,0,1,,Jefe del hogar,Sí,No,249
221,26-Jan-23,Guadalajara,1403900015277,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Hipotecada,No quiso responder,0,0,0,,,No,No,249
222,26-Jan-23,Guadalajara,1403900015277,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,No,249
223,26-Jan-23,Guadalajara,1403900013209,09,Vialidades insuficientes,Falta de información de rutas,5,Rentada,"$10,001 y $15,000",0,0,2,,Compañero,Sí,No,249
224,26-Jan-23,Guadalajara,1403900010882,09,Congestionamiento,Poca frecuencia de paso en la noche,2,Hipotecada,No quiso responder,0,0,0,,,No,No,249
225,26-Jan-23,Guadalajara,1403900010882,09,Congestionamiento,Falta de información de rutas,3,Propia,"$1,501 y $3,000",0,0,2,,Jefe del hogar,Sí,Sí,249
226,26-Jan-23,Guadalajara,1403900015277,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,No,249
227,26-Jan-23,Guadalajara,1403900010882,09,Congestionamiento,La distancia a las paradas,2,Propia,"$1,501 y $3,000",0,0,2,,Jefe del hogar,Sí,Sí,249
229,26-Jan-23,Guadalajara,140390001090A,09,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Propia,No sabe,0,0,0,,Jefe del hogar,Sí,Sí,249
233,27-Jan-23,Guadalajara,1403900012446,06A,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,0,,Cónyuge,Sí,No,48
235,27-Jan-23,Guadalajara,1403900013730,06A,Congestionamiento,El costo del viaje,3,Rentada,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,No,48
238,27-Jan-23,Guadalajara,1403900013730,06A,Falta de señalamientos,Falta de cubiertas para espera en las paradas,4,Rentada,"$10,001 y $15,000",0,0,0,,Hijo,Sí,No,48
240,27-Jan-23,Guadalajara,1403900012446,06A,Falta de estacionamiento,La distancia a las paradas,3,Propia,"$10,001 y $15,000",0,0,0,,Otro parentesco,Sí,Sí,48
241,27-Jan-23,Guadalajara,1403900015332,06A,Falta de ciclovías,El costo del viaje,6,Rentada,No quiso responder,0,0,0,,,Sí,No,48
245,27-Jan-23,Guadalajara,1403900012713,06A,Congestionamiento,Trato del/de la chofer,4,Propia,"$15,001 y $25,000",0,0,0,,Jefe del hogar,Sí,No,48
248,27-Jan-23,Guadalajara,1403900013730,06A,Congestionamiento,Falta de información de rutas,1,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,Sí,48
252,27-Jan-23,Guadalajara,1403900012592,06A,Pavimento deteriorado,La distancia a las paradas,2,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,48
254,27-Jan-23,Guadalajara,1403900012592,06A,Falta de señalamientos,La falta de comodidad de las unidades del transporte,2,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,48
256,27-Jan-23,Guadalajara,1403900012431,06A,Vialidades insuficientes,Falta de cubiertas para espera en las paradas,2,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,48
257,27-Jan-23,Guadalajara,1403900013730,06A,Congestionamiento,Falta de cubiertas para espera en las paradas,2,Propia,"$15,001 y $25,000",0,0,0,,Jefe del hogar,Sí,No,48
258,27-Jan-23,Guadalajara,1403900012446,06A,Vialidades insuficientes,Poca frecuencia de paso en el día,5,Propia,No sabe,0,0,2,,Jefe del hogar,Sí,Sí,48
259,27-Jan-23,Guadalajara,1403900012569,06A,Insuficiente transporte público,Falta de cubiertas para espera en las paradas,3,Rentada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,48
261,27-Jan-23,Guadalajara,1403900013694,06A,Congestionamiento,La distancia a las paradas,4,Propia,"$15,001 y $25,000",0,1,1,,Cónyuge,Sí,Sí,48
262,27-Jan-23,Guadalajara,1403900012592,06A,Congestionamiento,Conducción del/ de la chofer,4,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,Sí,No,48
263,27-Jan-23,Guadalajara,1403900015332,06A,Congestionamiento,Poca frecuencia de paso en la noche,3,Rentada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,No,48
266,27-Jan-23,Guadalajara,1403900012592,06A,Falta de estacionamiento,La distancia a las paradas,3,Propia,No quiso responder,0,0,2,,Jefe del hogar,No,No,48
268,27-Jan-23,Guadalajara,1403900013730,06A,Congestionamiento,La distancia a las paradas,2,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,Sí,48
270,27-Jan-23,Guadalajara,1403900013711,06A,Congestionamiento,La distancia a las paradas,2,Hipotecada,No quiso responder,0,0,0,,,No,No,48
273,27-Jan-23,Guadalajara,1403900012431,06A,Congestionamiento,Poca frecuencia de paso en el día,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,48
274,27-Jan-23,Guadalajara,1403900012431,06A,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,3,,Hijo,No,Sí,48
276,27-Jan-23,Guadalajara,1403900013730,06A,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,3,Propia,"$7,001 y $10,000",0,1,0,,Cónyuge,Sí,No,48
277,27-Jan-23,Guadalajara,1403900012431,06A,Falta de estacionamiento,Trato del/de la chofer,7,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,Sí,48
280,27-Jan-23,Guadalajara,1403900014033,06A,Congestionamiento,Poca frecuencia de paso en el día,2,Propia,"$15,001 y $25,000",0,0,1,,Jefe del hogar,Sí,No,48
281,27-Jan-23,Guadalajara,1403900012592,06A,Congestionamiento,Conducción del/ de la chofer,4,Propia,"$7,001 y $10,000",0,0,0,,Nieto,Sí,Sí,48
283,27-Jan-23,Guadalajara,1403900012569,06A,Insuficiente transporte público,Poca frecuencia de paso en la noche,1,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,No,48
284,27-Jan-23,Guadalajara,1403900012592,06A,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,2,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,48
285,27-Jan-23,Guadalajara,1403900012569,06A,Congestionamiento,Poca frecuencia de paso en la noche,2,Rentada,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,Sí,48
286,27-Jan-23,Guadalajara,1403900013694,06A,Congestionamiento,La distancia a las paradas,3,Prestada,"$10,001 y $15,000",0,0,0,,Hijo,No,No,48
287,27-Jan-23,Guadalajara,1403900013730,06A,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,3,Propia,"$15,001 y $25,000",0,0,0,,Jefe del hogar,Sí,Sí,48
288,27-Jan-23,Guadalajara,1403900014033,06A,Calles inundadas,El costo del viaje,1,Hipotecada,No quiso responder,0,0,0,,,No,No,48
289,27-Jan-23,Guadalajara,1403900012431,06A,Vialidades insuficientes,Falta de información de rutas,4,Hipotecada,No quiso responder,0,0,0,,,No,No,48
290,27-Jan-23,Guadalajara,1403900012713,06A,Tiempos excesivos de traslado,El costo del viaje,5,Rentada,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,No,48
291,27-Jan-23,Guadalajara,1403900013730,06A,Falta de señalamientos,El sobrecupo de personas en las unidades del transporte,1,Rentada,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,48
295,27-Jan-23,Guadalajara,1403900014033,06A,Calles inundadas,Poca frecuencia de paso en el día,6,Propia,"$3,001 y $7,000",0,0,1,,Cónyuge,No,No,48
296,27-Jan-23,Guadalajara,1403900012431,06A,Falta de cruces peatonales,Conducción del/ de la chofer,3,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,Sí,48
301,27-Jan-23,Guadalajara,1403900012592,06A,,El costo del viaje,5,Propia,"$1,501 y $3,000",0,0,0,,Cónyuge,Sí,Sí,48
302,27-Jan-23,Guadalajara,1403900014033,06A,Pavimento deteriorado,Falta de información de rutas,6,Rentada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,No,48
304,27-Jan-23,Guadalajara,1403900013730,06A,Falta de señalamientos,Conducción del/ de la chofer,3,Prestada,No quiso responder,0,0,0,,,Sí,No,48
308,27-Jan-23,Guadalajara,1403900012569,06A,Congestionamiento,La distancia a las paradas,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,48
310,27-Jan-23,Guadalajara,1403900012446,06A,Vialidades insuficientes,Poca frecuencia de paso en la noche,1,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,48
