Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
17871,29-Apr-23,Tlajomulco,140970005034A,59,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,6,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,19
17872,29-Apr-23,Tlajomulco,140970123,51F,,,2,Rentada,No quiso responder,0,1,0,,Cónyuge,Sí,No,10
17873,29-Apr-23,Tlajomulco,140970005034A,59,Falta de señalamientos,Poca frecuencia de paso en el día,4,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,19
17874,29-Apr-23,Tlajomulco,1409700150956,51F,,,2,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,10
17875,29-Apr-23,Tlajomulco,1409700150710,51F,Falta de cruces peatonales,Poca frecuencia de paso en el día,2,Rentada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,Sí,10
17876,29-Apr-23,Tlajomulco,1409700150960,51F,,,2,Propia,No quiso responder,0,0,0,,Cónyuge,Sí,No,10
17879,29-Apr-23,Tlajomulco,140970123,51F,,,3,Rentada,No quiso responder,0,1,0,,Cónyuge,Sí,No,10
17881,29-Apr-23,Tlajomulco,140970123,51F,,,1,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,10
17883,29-Apr-23,Tlajomulco,140970123,51F,,,4,Rentada,No quiso responder,0,1,0,,Cónyuge,Sí,No,10
17887,29-Apr-23,Tlajomulco,140970005034A,59,Falta de cruces peatonales,Poca frecuencia de paso en el día,4,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,No,Sí,19
17888,29-Apr-23,Tlajomulco,140970005034A,59,Calles inundadas,El sobrecupo de personas en las unidades del transporte,3,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,19
17889,29-Apr-23,Tlajomulco,1409700150710,51F,Tiempos excesivos de traslado,La distancia a las paradas,3,Rentada,No quiso responder,0,1,0,,Cónyuge,Sí,No,10
17890,29-Apr-23,Tlajomulco,140970123,51F,,,3,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,10
17893,29-Apr-23,Tlajomulco,140970005034A,59,Falta de señalamientos,Poca frecuencia de paso en el día,6,Propia,"$7,001 y $10,000",0,0,1,En la cochera de la casa,Cónyuge,Sí,Sí,19
17895,29-Apr-23,Tlajomulco,140970005034A,59,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,19
17896,29-Apr-23,Tlajomulco,140970123,51F,,,3,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,10
17897,29-Apr-23,Tlajomulco,140970123,51F,,,3,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,10
17898,29-Apr-23,Tlajomulco,1409700150956,51F,Insuficiente transporte público,La distancia a las paradas,1,Prestada,No quiso responder,0,0,1,,Jefe del hogar,No,Sí,10
